Product,Year,Aldi.Price,Aldi.Weight,Aldi.Price/Weight,Aldi.Natural,Aldi.Comment,Kroger.Price,Kroger.Weight,Kroger.Price/Weight,Kroger.Natural,Kroger.Comment,Publix.Price,Publix.Weight,Publix.Price/Weight,Publix.Natural,Publix.Comment,Walmart.Price,Walmart.Weight,Walmart.Price/Weight,Walmart.Comment
Onions,2010,$2.49,3 lbs,,,"Freshire Farms, yellow; Vidalia: 0.99/2lbs; red/white: 0.99/2 jumbos",$1.89,3 lbs,,,"Kroger Value, yellow",$2.99,3 lbs,,,"Struman Produce, sweet onions [yellow onions 2.69 for 3 lbs/ best price 1.99 for 3 lbs",,,,
"Orange Juice, not from concentrate",2010,$2.39,2 qt,,,Nature's Nectar,$3.19,64 fl oz,,,Kroger; best price seen: 2.50,$2.99,64 oz,,,Publix,,,,
Oranges,2010,$2.89,4 lbs,,,"Various growers, navel",$4.99,8 lbs,,,"various growers, Valencia; Navel: 4.10/4 lbs",$4.99,4 lbs,,,"Various growers, Florida",,,,
"Pancetta, diced",2010,,,,,,,,,,,$4.09,4 oz,,,Boar's Head,,,,
Paper Towles,2010,$5.99,8 rolls,,,"Boulder, 2-ply, 416 sheets total",,,,,,$1.33,1 roll/105 sheets,,,Publix,,,,
"Pasta, Egg Noodles, enriched",2010,$0.99,12 oz,,,Reggano,$1.19,16 oz,,,Kroger Value,$1.47,16 oz,,,Publix,,,,
"Pasta, Ellbow Maccaroni",2010,$1.49,32 oz,,,Reggano,$0.76,16 oz,,,Kroger Value,$2.19,32 oz,,,Publix,,,,
"Pasta, Penne Rigate, organic/natural",2010,,,,,,$1.59,16 oz --?,,,"1.29/12 oz/ Kroger, whole wheat, whole grain",$1.29,13.25 oz,,All natural,"Mueller's, whole grain",,,,
"Pasta, Rotini, wheat",2010,$0.79,12 oz,,,Fit & Active,$1.69,13.25 oz,,,,$1.79,13.25,,,Ronzoni,,,,
"Pasta, Spaghetti, enriched",2010,$1.49,32 oz,,,Reggano,$0.76,16 oz,,,Kroger Value,$1.15,16 oz,,,Publix,,,,
Peanut Butter,2010,$1.39,18 oz,,,"BerryHill, creamy and crunchy",$1.74,18 oz,,,"Kroger, creamy, crunchy and honey roasted",$2.34,18 oz,,,"Jif, crunchy and creamy, best price seen: 2.29",,,,
"Peanuts, salted",2010,$1.99,16 oz,,,Southern Grove,$2.37,16 oz,,,Kroger,$2.23,16 oz,,,Publix,,,,
Pears,2010,$1.69,,,,,$1.89,per lb,,,"Individuals, Bosc; 1.59/lb for Bartlett/Anjou",$0.99,per lb,,,Various growers,,,,
"Pepper, black, ground",2010,$1.19,4 oz,,,"Spice Club, pure ground",$2.99,4 oz,,,"Kroger, pure ground",$2.95,4 oz,,,"Publix, pure ground",,,,
Pizza Dough,2010,,,,,,,,,,,,,,,,,,,
"Pizza, frozen (1)",2010,$2.29,22.1 oz,,,"Mama Cozzi, pepperoni, sausage, combo, extra cheese or deluxe",$2.99,20.5 oz,,,"Kroger, extra cheese, supreme or pepperoni; best price seen: 2.77 w/ card",$2.95,22 oz,,,"Publix, 4 cheeses, pepperoni or supreme",,,,
"Pizza, frozen (2)",2010,$3.69,32.7 oz,,,"Mama Cozzi, self-rising crust, pepperoni or supreme",$3.34,21.6 oz,,,"Tombstone, assorted flavors",$5.79,21.6 oz,,,"Tombstone, assorted flavors",,,,
Plastic Wrap,2010,$1.29,200 sq ft,,,Kwik 'n Fresh,,,,,,$1.59,100 sq ft,,,"Glad,Cling Wrap",,,,
Pork Tenderloin,2010,$2.49,per lb,,,"Roseland, packaged at 3-4 lbs",$3.99,per lb,,,"Kroger, packaged at 1-2 lbs; best price seen: 2.99 w/ card",$6.59,per lb,,Y,"Publix, packaged at 1-2 lbs",,,,
"Potatoes, Idaho/Russet",2010,$1.99,5 lbs,,,Freshire Farms,$2.68,5 lbs,,,Kroger Fresh; 3.99/10 lbs Kroger Value,$3.99,5 lbs,,,Publix,,,,
"Potatoes, red",2010,$2.49,5 lbs,,,Freshire Farms,,,,,,$3.99,5 lbs,,,"Publix, best price see: 1.97/lb",,,,
"Potatoes, white",2010,$2.49,5 lbs,,,Various growers,$4.99,5 lbs,,,Del Monte,$4.99,5 lbs,,,"Publix, best price seen: 3.99",,,,
"Potatoes, Yukon Gold",2010,,,,,,$5.69,5 lbs,,,Kroger Fresh,$4.49,5 lbs,,,Publix,,,,
Preserves,2010,$1.49,18 oz,,,"Berry Hill, strawberry",$2.39,18 oz,,,"Kroger, strawberry and peach",$2.29,18 oz,,,"Publix, strawberry",,,,
Pretzels,2010,$1.29,16 oz,,,"Clancys, mini & sticks",$1.24,15 oz,,,"Kroger, sticks or twists",$1.89,16 oz,,,"Publix, best price seen: 2 for $3",,,,
"Ribs, Baby Back (unseasoned)",2010,$3.99,per lb,,,Roseland,,,,,,$4.49,per lb,,Y,Baby Back,,,,
"Ribs, Spare Back (unseasoned)",2010,$1.89,per lb,,,Roseland,,,,,,$2.99,per lb,,Y,Spare Back,,,,
"Rice, instant, white",2010,$1.35,14 oz,,,"Rice Bowl, enriched",$1.52,14 oz,,,"Kroger, enriched",$2.49,28 oz,11.39,,Publix,,,,
"Rice, regular",2010,$1.39,3 lbs,,,"Rice Bowl, enriched, long grain white",$3.23,5 lbs,,,Kroger Value,$2.39,3 lbs,4.98,,Publix,,,,
Salad Dressing,2010,$0.99,16 fl oz,,,"Fit & Active, reduced fat; SaladMate, regular",$1.24,16 fl oz,,,"Kroger, assorted flavors",$2.29,16 fl oz,,,"Publix, assorted flavors, best price seen: 2 for $4",,,,
"Salami, sliced",2010,$2.49,8 oz,,,Deli Premium,,,,,,$4.79,10 oz,42.9,,Publix Deli,,,,
"Salami, whole (1)",2010,,,,,,,,,,,$6.69,7 oz,,,"Boar's Head, Italian dry salami",,,,
"Salami, whole (2)",2010,,,,,,,,,,,$7.79,10 oz,,,,,,,
